County,POP2010
Newport,82888
Newport News,180719
Newton,216811
Nez Perce,39265
Niagara,216469
Nicholas,33368
Nicollet,32727
Niobrara,2484
Noble,73742
Nobles,21378
Nodaway,23370
Nolan,15216
Nome,9492
Norfolk,913653
Norman,6852
North Slope,9430
Northampton,332223
Northumberland,106858
Northwest Arctic,7523
Norton,9629
Nottoway,15853
Nowata,10536
Noxubee,11545
Nuckolls,4500
Nueces,340223
Nye,43946
O'Brien,14398
Oakland,1202362
Obion,31807
Ocean,576567
Oceana,26570
Ochiltree,10223
Oconee,107081
Oconto,37660
Ogemaw,21699
Ogle,53497
Oglethorpe,14899
Ohio,74413
Okaloosa,180822
Okanogan,41120
Okeechobee,39996
Okfuskee,12191
Oklahoma,718633
Okmulgee,40069
Oktibbeha,47671
Oldham,62368
Oliver,1846
Olmsted,144248
Oneida,275162
Onondaga,467026
Onslow,177772
Ontario,107931
Ontonagon,6780
Orange,4826896
Orangeburg,92501
Oregon,10881
Orleans,413943
Osage,77645
Osborne,3858
Osceola,298675
Oscoda,8640
Oswego,122109
Otero,82628
Otoe,15740
Otsego,86423
Ottawa,343168
Otter Tail,57303
Ouachita,179840
Ouray,4436
Outagamie,176695
Overton,22083
Owen,32416
Owsley,4755
Owyhee,11526
Oxford,57833
Ozark,9723
Ozaukee,86395
Pacific,20920
Page,39974
Palm Beach,1320134
Palo Alto,9421
Palo Pinto,28111
Pamlico,13144
Panola,58503
Park,60047
Parke,17339
Parker,116927
Parmer,10269
Pasco,464697
Pasquotank,40661
Passaic,501226
Patrick,18490
Paulding,161938
Pawnee,26323
Payette,22623
Payne,77350
Peach,27695
Pearl River,55834
Pecos,15507
Pembina,7413
Pemiscot,18296
Pend Oreille,13001
Pender,52217
Pendleton,22572
Pennington,114878
Penobscot,153923
Peoria,186494
Pepin,7469
Perkins,5952
Perquimans,13453
Perry,212599
Pershing,6753
Person,39464
Petersburg,32420
Petroleum,494
Pettis,42201
Phelps,54344
Philadelphia,1526006
Phillips,36094
Piatt,16729
Pickaway,55698
Pickens,168401
Pickett,5077
Pierce,866625
Pike,301356
